model,subject,single_best_train_sessions,single_best_acc,multisource_acc,gain,ses01_within_acc,ses02_within_acc,ses03_within_acc,drift_level,drift_score
fbcnet,sub-033,ses-01,0.9359999999999999,0.922,-0.013999999999999901,0.971,0.9690000000000001,0.9490000000000001,moderate,-0.276196
fbcnet,sub-034,ses-02,0.5589999999999999,0.5599999999999999,0.0010000000000000009,0.557,0.743,0.528,moderate,-0.282479
fbcnet,sub-035,ses-02,0.8800000000000001,0.8880000000000001,0.008000000000000007,0.914,0.9420000000000001,0.852,stable,-0.546671
fbcnet,sub-036,ses-02,0.9280000000000002,0.933,0.004999999999999893,0.762,0.909,0.963,moderate,0.072243
fbcnet,sub-037,ses-02,0.7070000000000001,0.704,-0.0030000000000001137,0.659,0.752,0.804,high,0.328755
fbcnet,sub-038,ses-02,0.539,0.518,-0.02100000000000002,0.496,0.632,0.543,high,0.99435
fbcnet,sub-039,ses-02,0.631,0.571,-0.06000000000000005,0.757,0.6579999999999999,0.785,stable,-0.956734
fbcnet,sub-040,ses-01,0.7060000000000001,0.689,-0.017000000000000126,0.725,0.5710000000000001,0.74,stable,-0.664534
fbcnet,sub-041,ses-02,0.825,0.86,0.03500000000000003,0.816,0.763,0.8320000000000001,stable,-0.419043
fbcnet,sub-042,ses-01,0.609,0.646,0.03700000000000003,0.693,0.594,0.613,high,0.217059
fbcnet,sub-043,ses-01,0.976,0.993,0.017000000000000015,0.983,0.9620000000000001,0.961,stable,-0.703556
fbcnet,sub-044,ses-01,0.5439999999999999,0.55,0.006000000000000116,0.539,0.591,0.52,stable,-0.712975
fbcnet,sub-045,ses-01,0.7220000000000001,0.754,0.03199999999999992,0.723,0.5930000000000001,0.8009999999999999,high,0.364502
fbcnet,sub-046,ses-01,0.9490000000000001,0.96,0.010999999999999899,0.963,0.946,0.92,stable,-0.503786
fbcnet,sub-047,ses-01,0.74,0.818,0.07799999999999996,0.77,0.7490000000000001,0.826,stable,-0.52362
fbcnet,sub-048,ses-02,0.577,0.625,0.04800000000000004,0.613,0.634,0.755,stable,-0.383987
fbcnet,sub-049,ses-02,0.798,0.732,-0.06600000000000006,0.946,0.872,0.858,stable,-0.540644
fbcnet,sub-050,ses-02,0.8400000000000001,0.877,0.03699999999999992,0.7759999999999999,0.9159999999999999,0.83,stable,-0.748831
fbcnet,sub-051,ses-02,0.768,0.776,0.008000000000000007,0.7659999999999999,0.787,0.7829999999999999,moderate,0.026446
