relationship,x_metric,y_metric,model,prototype_type,distance,n,pearson_r,pearson_p,spearman_rho,spearman_p,slope,intercept,r2
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,eegnet,confidence_weighted,cosine,2500,-0.005779092804527487,0.7727248344088661,0.027773386552234488,0.16506318083284258,-0.0032976281828703,0.10770409500885601,3.3397913643341185e-05
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,fbcnet,confidence_weighted,cosine,2500,0.02837858886717757,0.15604323746926743,0.040791492245234505,0.04140978387457087,0.01686239392122779,0.09469729716754474,0.0008053443060922949
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,ALL,confidence_weighted,cosine,7500,0.029207362925019263,0.011420895409001547,0.045918920450117126,6.94592006083213e-05,0.01458313270681336,0.10339006147354932,0.0008530700490337898
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,deepconvnet,confidence_weighted,euclidean,2500,0.0372269891145516,0.06273519049703077,0.06542007610587924,0.0010645983897560277,0.01566582019774783,0.10963528595566273,0.0013858487185349397
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,eegnet,confidence_weighted,euclidean,2500,-0.005779092804527487,0.7727248344088661,0.027773386552234488,0.16506318083284258,-0.0032976281828703,0.10770409500885601,3.3397913643341185e-05
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,fbcnet,confidence_weighted,euclidean,2500,0.02837858886717757,0.15604323746926743,0.040791492245234505,0.04140978387457087,0.01686239392122779,0.09469729716754474,0.0008053443060922949
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,ALL,confidence_weighted,euclidean,7500,0.029207362925019263,0.011420895409001547,0.045918920450117126,6.94592006083213e-05,0.01458313270681336,0.10339006147354932,0.0008530700490337898
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,deepconvnet,correct_only,cosine,2239,0.346730799212702,2.9297554875663314e-64,0.3678928789513399,1.0441111756018473e-72,0.20141701551127267,0.0020043986262450464,0.12022224712267915
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,eegnet,correct_only,cosine,2418,0.2748236943678796,3.70467314020015e-43,0.2862625874130344,7.875123944846887e-47,0.18226640969954344,0.032276428044237554,0.07552806298600971
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,fbcnet,correct_only,cosine,1920,0.06551778880427386,0.0040780268107013995,0.07705188222673043,0.0007273151460870042,0.03171234379374208,0.07658386792605504,0.004292580649801436
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,ALL,correct_only,cosine,6577,0.24655510369496147,1.1437544432778928e-91,0.24537368082095953,8.782357627056257e-91,0.12906075532608163,0.05035160938395831,0.06078941915803311
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,deepconvnet,correct_only,euclidean,2239,0.346730799212702,2.9297554875663314e-64,0.3678928789513399,1.0441111756018473e-72,0.20141701551127267,0.0020043986262450464,0.12022224712267915
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,eegnet,correct_only,euclidean,2418,0.2748236943678796,3.70467314020015e-43,0.2862625874130344,7.875123944846887e-47,0.18226640969954344,0.032276428044237554,0.07552806298600971
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,fbcnet,correct_only,euclidean,1920,0.06551778880427386,0.0040780268107013995,0.07705188222673043,0.0007273151460870042,0.03171234379374208,0.07658386792605504,0.004292580649801436
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,ALL,correct_only,euclidean,6577,0.24655510369496147,1.1437544432778928e-91,0.24537368082095953,8.782357627056257e-91,0.12906075532608163,0.05035160938395831,0.06078941915803311
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,deepconvnet,label_based,cosine,2500,0.044845136105466074,0.02494434954821161,0.07036958596195038,0.00042978464921313383,0.019350483330453205,0.10900623661181123,0.002011086232317776
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,eegnet,label_based,cosine,2500,-0.007821812938905378,0.6958703882820563,0.023376744985737934,0.2426404744253618,-0.0045931079594373975,0.10784646266626148,6.118075765122775e-05
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,fbcnet,label_based,cosine,2500,0.03217177557967823,0.10779125832021201,0.04399076619232373,0.02784217343636459,0.020021897775240764,0.09457443508936525,0.00103502314394918
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,ALL,label_based,cosine,7500,0.032507333399777044,0.004870254074092951,0.04676866607430448,5.081917580967188e-05,0.016739982420544967,0.10317374823872283,0.0010567267247642597
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,deepconvnet,label_based,euclidean,2500,0.044845136105466074,0.02494434954821161,0.07036958596195038,0.00042978464921313383,0.019350483330453205,0.10900623661181123,0.002011086232317776
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,eegnet,label_based,euclidean,2500,-0.007821812938905378,0.6958703882820563,0.023376744985737934,0.2426404744253618,-0.0045931079594373975,0.10784646266626148,6.118075765122775e-05
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,fbcnet,label_based,euclidean,2500,0.03217177557967823,0.10779125832021201,0.04399076619232373,0.02784217343636459,0.020021897775240764,0.09457443508936525,0.00103502314394918
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,ALL,label_based,euclidean,7500,0.032507333399777044,0.004870254074092951,0.04676866607430448,5.081917580967188e-05,0.016739982420544967,0.10317374823872283,0.0010567267247642597
separation_change_vs_acc_drop,separation_change,acc_drop,deepconvnet,confidence_weighted,cosine,2500,0.44549841293067827,3.5493669103162326e-122,0.4066582062207928,3.4547005939303967e-100,0.2206106119889603,0.08702686837919515,0.19846883592375328
separation_change_vs_acc_drop,separation_change,acc_drop,eegnet,confidence_weighted,cosine,2500,0.4725406150556295,2.8720070144812002e-139,0.4472853976516399,2.9353996460044566e-123,0.17915456909536187,0.0335348899144336,0.2232946328771524
separation_change_vs_acc_drop,separation_change,acc_drop,fbcnet,confidence_weighted,cosine,2500,0.46546429499655007,1.2038931861672312e-134,0.4521919196692279,2.897438330698512e-126,0.7777705381408898,0.05028918337855626,0.21665700991663545
separation_change_vs_acc_drop,separation_change,acc_drop,ALL,confidence_weighted,cosine,7500,0.38337579034755914,3.567121230563714e-261,0.37003439825552226,4.3747321219003644e-242,0.17377717740050125,0.07112516948209259,0.14697699662461558
separation_change_vs_acc_drop,separation_change,acc_drop,deepconvnet,confidence_weighted,euclidean,2500,0.001273556218646151,0.9492521108202726,0.40617487913872496,6.225736703876774e-100,8.025843412053792e-07,0.11262395088935101,1.6219454420522716e-06
separation_change_vs_acc_drop,separation_change,acc_drop,eegnet,confidence_weighted,euclidean,2500,-0.06506294806872608,0.0011340452114906973,0.2134151420294949,3.839661792632539e-27,-3.1430903813738195e-05,0.10616500355529594,0.0042331872113937465
separation_change_vs_acc_drop,separation_change,acc_drop,fbcnet,confidence_weighted,euclidean,2500,0.09922143780998521,6.665625721694575e-07,0.17456128699557813,1.4786835620697173e-18,0.003280302373154266,0.08883182729669464,0.009844893721080772
separation_change_vs_acc_drop,separation_change,acc_drop,ALL,confidence_weighted,euclidean,7500,-0.032599510611037656,0.004750535219911213,0.266209928046519,7.264277176802688e-122,-2.1144862249767686e-05,0.10461109479919768,0.0010627280920791568
separation_change_vs_acc_drop,separation_change,acc_drop,deepconvnet,correct_only,cosine,2239,0.11782577108079789,2.2490626975401617e-08,0.06761220947313812,0.0013687723919836821,0.063458836057609,0.11609442864466386,0.013882912330784591
separation_change_vs_acc_drop,separation_change,acc_drop,eegnet,correct_only,cosine,2418,0.16047163583728757,2.049480930922523e-15,0.13319017959577578,4.8551859665523765e-11,0.06688701767656495,0.09159030246886396,0.025751145908295036
