relationship,x_metric,y_metric,model,prototype_type,distance,n,pearson_r,pearson_p,spearman_rho,spearman_p,slope,intercept,r2
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,fbcnet,confidence_weighted,cosine,1440,-0.05518841484184164,0.0362572694074626,-0.05184332799476188,0.049191245364937644,-0.021228319836911248,0.12242206777586224,0.0030457611327552045
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,ALL,confidence_weighted,cosine,4320,-0.2668514430902837,2.4601517111024897e-71,-0.24165400081399316,1.9075173043472834e-58,-0.09964237781813001,0.16036592798040833,0.07120969267936694
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,deepconvnet,confidence_weighted,euclidean,1440,-0.3305668075585965,4.64713326968208e-38,-0.28800484905496126,6.637162055496967e-29,-0.12305778575802424,0.19366905051669867,0.1092744142594823
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,eegnet,confidence_weighted,euclidean,1440,-0.4095258081713893,2.4332778089002673e-59,-0.3599334430793191,2.75312360125471e-45,-0.1762238755411825,0.19325820554009343,0.16771138755842968
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,fbcnet,confidence_weighted,euclidean,1440,-0.05518841484184164,0.0362572694074626,-0.05184332799476188,0.049191245364937644,-0.021228319836911248,0.12242206777586224,0.0030457611327552045
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,ALL,confidence_weighted,euclidean,4320,-0.2668514430902837,2.4601517111024897e-71,-0.24165400081399316,1.9075173043472834e-58,-0.09964237781813001,0.16036592798040833,0.07120969267936694
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,deepconvnet,correct_only,cosine,1429,-0.2937835565740421,7.653744770498746e-30,-0.28088984665983646,2.5458185963657666e-27,-0.22607328289461803,0.302910585926,0.08630877811329342
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,eegnet,correct_only,cosine,1431,-0.37429029624243526,8.218642882113705e-49,-0.3645736336100155,3.2066518583854256e-46,-0.24921984698731214,0.2710896853648518,0.14009322586125003
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,fbcnet,correct_only,cosine,1395,-0.16449415552641414,6.392110119008233e-10,-0.2114637223311721,1.4462351120616474e-15,-0.0854529196731001,0.15513496868712048,0.027058327202348104
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,ALL,correct_only,cosine,4255,-0.23050738421307937,1.999684876632378e-52,-0.2480173254298427,1.1498425826250664e-60,-0.12835559159925328,0.19765219152251395,0.053133654176756126
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,deepconvnet,correct_only,euclidean,1429,-0.2937835565740421,7.653744770498746e-30,-0.28088984665983646,2.5458185963657666e-27,-0.22607328289461803,0.302910585926,0.08630877811329342
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,eegnet,correct_only,euclidean,1431,-0.37429029624243526,8.218642882113705e-49,-0.3645736336100155,3.2066518583854256e-46,-0.24921984698731214,0.2710896853648518,0.14009322586125003
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,fbcnet,correct_only,euclidean,1395,-0.16449415552641414,6.392110119008233e-10,-0.2114637223311721,1.4462351120616474e-15,-0.0854529196731001,0.15513496868712048,0.027058327202348104
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,ALL,correct_only,euclidean,4255,-0.23050738421307937,1.999684876632378e-52,-0.2480173254298427,1.1498425826250664e-60,-0.12835559159925328,0.19765219152251395,0.053133654176756126
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,deepconvnet,label_based,cosine,1440,-0.3235573229674937,1.90380087491562e-36,-0.27865040006803365,4.323130181485968e-27,-0.12158690970950471,0.19143071226856562,0.10468934124589112
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,eegnet,label_based,cosine,1440,-0.41415506366623334,8.861176637209778e-61,-0.3641177221012331,2.2188892038797028e-46,-0.18164143365040455,0.19425663956793948,0.17152441676038183
