method,subject,acc_mean,none_acc_mean,gain_acc_mean
riemannian_alignment,sub-026,0.8333333333333334,0.7708333333333334,0.06250000000000001
riemannian_alignment,sub-027,0.6347619047619049,0.6097619047619048,0.02500000000000001
riemannian_alignment,sub-028,0.6444285714285715,0.6288571428571429,0.015571428571428578
riemannian_alignment,sub-029,0.7328095238095238,0.6776666666666666,0.05514285714285715
riemannian_alignment,sub-030,0.7309523809523809,0.7217619047619047,0.009190476190476195
riemannian_alignment,sub-031,0.6604285714285714,0.6438095238095237,0.016619047619047613
riemannian_alignment,sub-032,0.5556666666666668,0.581,-0.025333333333333326
riemannian_alignment,sub-033,0.8451904761904763,0.8727619047619047,-0.027571428571428584
riemannian_alignment,sub-034,0.6752380952380953,0.7029047619047619,-0.027666666666666666
riemannian_alignment,sub-035,0.8732857142857143,0.900952380952381,-0.02766666666666666
riemannian_alignment,sub-036,0.8295238095238094,0.8978571428571429,-0.06833333333333334
riemannian_alignment,sub-037,0.7546190476190476,0.7914761904761906,-0.03685714285714286
riemannian_alignment,sub-038,0.5144761904761905,0.5139523809523809,0.0005238095238095259
riemannian_alignment,sub-039,0.5141428571428571,0.5093809523809524,0.004761904761904762
riemannian_alignment,sub-040,0.6385714285714286,0.6601904761904761,-0.021619047619047625
riemannian_alignment,sub-041,0.8155714285714286,0.8203809523809524,-0.004809523809523808
riemannian_alignment,sub-042,0.5785714285714286,0.6168571428571428,-0.038285714285714284
riemannian_alignment,sub-043,0.9077619047619048,0.9337619047619048,-0.026
riemannian_alignment,sub-044,0.567952380952381,0.6027619047619047,-0.03480952380952381
riemannian_alignment,sub-045,0.6435238095238095,0.7411428571428571,-0.09761904761904762
riemannian_alignment,sub-046,0.9087619047619048,0.9452857142857143,-0.03652380952380952
riemannian_alignment,sub-047,0.7543333333333333,0.7673333333333333,-0.012999999999999998
riemannian_alignment,sub-048,0.7091428571428571,0.6983809523809523,0.010761904761904752
riemannian_alignment,sub-049,0.6767619047619048,0.7067142857142857,-0.029952380952380956
riemannian_alignment,sub-050,0.8252380952380953,0.8423809523809525,-0.017142857142857133
riemannian_alignment,sub-051,0.7001428571428572,0.7413333333333334,-0.0411904761904762
session_zscore,sub-001,0.7548571428571429,0.7571428571428571,-0.0022857142857142824
session_zscore,sub-002,0.580952380952381,0.5828571428571429,-0.0019047619047619043
session_zscore,sub-003,0.7406190476190476,0.7182380952380953,0.022380952380952376
session_zscore,sub-004,0.5086666666666667,0.5074285714285715,0.0012380952380952339
session_zscore,sub-005,0.719047619047619,0.7183809523809525,0.0006666666666666662
session_zscore,sub-006,0.8740952380952381,0.7886666666666667,0.08542857142857142
session_zscore,sub-007,0.6906666666666667,0.6696666666666666,0.021
session_zscore,sub-008,0.6409523809523809,0.6498571428571428,-0.008904761904761896
session_zscore,sub-009,0.578952380952381,0.5965714285714285,-0.017619047619047614
session_zscore,sub-010,0.5862380952380952,0.5714761904761905,0.01476190476190476
session_zscore,sub-011,0.7015238095238094,0.7561904761904762,-0.05466666666666667
session_zscore,sub-012,0.5139047619047619,0.5187619047619048,-0.004857142857142867
session_zscore,sub-013,0.6492857142857142,0.6477142857142858,0.0015714285714285808
session_zscore,sub-014,0.5025714285714286,0.5005714285714286,0.0019999999999999996
session_zscore,sub-015,0.5853333333333334,0.5694761904761905,0.01585714285714286
session_zscore,sub-016,0.5183333333333334,0.5246666666666667,-0.006333333333333334
