model,protocol,subject,session,train_session,test_session,seed,fold,n_train,n_val,n_test,best_epoch,accuracy,balanced_accuracy,macro_f1,auc,nll,brier,ece
deepconvnet,cross_session,sub-023,,ses-02,ses-04,3,,75,19,100,2,0.720000,0.720000,0.719551,0.797600,0.551481,0.365850,0.076459
deepconvnet,cross_session,sub-023,,ses-02,ses-05,3,,75,19,97,2,0.731959,0.732568,0.731245,0.767857,0.629578,0.414960,0.148882
deepconvnet,cross_session,sub-023,,ses-03,ses-01,3,,79,20,96,3,0.541667,0.541667,0.541667,0.587674,1.419692,0.730258,0.333411
deepconvnet,cross_session,sub-023,,ses-03,ses-02,3,,79,20,94,3,0.500000,0.492301,0.419524,0.538496,1.145282,0.719816,0.333613
deepconvnet,cross_session,sub-023,,ses-03,ses-04,3,,79,20,100,3,0.410000,0.410000,0.382781,0.432000,1.119821,0.758666,0.356979
deepconvnet,cross_session,sub-023,,ses-03,ses-05,3,,79,20,97,3,0.505155,0.508929,0.431085,0.611820,0.993209,0.668084,0.320422
deepconvnet,cross_session,sub-023,,ses-04,ses-01,3,,80,20,96,28,0.510417,0.510417,0.506076,0.581380,3.980927,0.872664,0.445577
deepconvnet,cross_session,sub-023,,ses-04,ses-02,3,,80,20,94,28,0.489362,0.495924,0.439642,0.503170,2.593451,0.912663,0.453511
deepconvnet,cross_session,sub-023,,ses-04,ses-03,3,,80,20,99,28,0.525253,0.521224,0.432630,0.700408,3.252852,0.905138,0.460922
deepconvnet,cross_session,sub-023,,ses-04,ses-05,3,,80,20,97,28,0.690722,0.689413,0.685065,0.766582,1.434221,0.544342,0.264927
deepconvnet,cross_session,sub-023,,ses-05,ses-01,3,,77,20,96,9,0.541667,0.541667,0.540870,0.580512,2.027124,0.774135,0.382548
deepconvnet,cross_session,sub-023,,ses-05,ses-02,3,,77,20,94,9,0.606383,0.609149,0.600918,0.640851,1.136555,0.644977,0.288637
deepconvnet,cross_session,sub-023,,ses-05,ses-03,3,,77,20,99,9,0.545455,0.542653,0.505933,0.594286,1.531885,0.741207,0.338371
deepconvnet,cross_session,sub-023,,ses-05,ses-04,3,,77,20,100,9,0.740000,0.740000,0.738325,0.814800,0.654545,0.378722,0.127418
deepconvnet,cross_session,sub-024,,ses-01,ses-02,3,,59,15,82,1,0.426829,0.426435,0.426061,0.432416,0.737050,0.539446,0.149794
