method,subject,acc_mean,none_acc_mean,gain_acc_mean
session_zscore,sub-011,0.5161021276595744,0.5053716566666667,0.010730470992907798
session_zscore,sub-012,0.5027717237524051,0.49933094333333333,0.003440780419071756
session_zscore,sub-013,0.5870943262411348,0.5901183400000001,-0.003024013758865249
session_zscore,sub-014,0.5170081617086194,0.5175909333333333,-0.0005827716247139619
session_zscore,sub-015,0.5233367515427223,0.53100311,-0.007666358457277654
session_zscore,sub-016,0.5330850780798149,0.5230555566666666,0.010029521413148253
session_zscore,sub-017,0.4964781954887218,0.49662841333333335,-0.00015021784461153264
session_zscore,sub-018,0.5123560283687943,0.5159134866666667,-0.003557458297872347
session_zscore,sub-019,0.536989445291683,0.5364226033333334,0.0005668419583497086
session_zscore,sub-020,0.6466700374531835,0.6151164866666666,0.031553550786516844
session_zscore,sub-021,0.6676399720437041,0.6137331633333333,0.0539068087103707
session_zscore,sub-022,0.5310973427264862,0.52888593,0.002211412726486229
session_zscore,sub-023,0.5648861084615993,0.5654826766666666,-0.0005965682050674249
session_zscore,sub-024,0.5104407525734758,0.5083619366666666,0.002078815906809128
session_zscore,sub-025,0.5138448041936479,0.5067727999999999,0.007072004193647847
