model,subject,session,mean_acc,std_acc,mean_bacc,mean_f1,mean_auc
deepconvnet,sub-043,ses-03,0.9269999999999999,0.0075828754440515475,0.9269999999999999,0.92642658,0.9682000000000001
deepconvnet,sub-044,ses-01,0.572,0.027064737205448695,0.572,0.5556561799999999,0.61
deepconvnet,sub-044,ses-02,0.671,0.0480104155366312,0.671,0.66105232,0.7392000000000001
deepconvnet,sub-044,ses-03,0.7150000000000001,0.036228441865473596,0.7150000000000001,0.70423854,0.8032
deepconvnet,sub-045,ses-01,0.718,0.031741140496207736,0.718,0.71037456,0.792
deepconvnet,sub-045,ses-02,0.733,0.029283100928692594,0.733,0.72766376,0.8019999999999999
deepconvnet,sub-045,ses-03,0.8390000000000001,0.023822258499143212,0.8390000000000001,0.83714314,0.9216
deepconvnet,sub-046,ses-01,0.9720000000000001,0.007582875444051566,0.9720000000000001,0.97179244,0.9982
deepconvnet,sub-046,ses-02,0.9790000000000001,0.005477225575051652,0.9790000000000001,0.9789018800000001,0.9965999999999999
deepconvnet,sub-046,ses-03,0.9339999999999999,0.02043281674170253,0.9339999999999999,0.9332044199999998,0.9732
deepconvnet,sub-047,ses-01,0.733,0.032132538026119276,0.733,0.7254892799999999,0.8263999999999999
deepconvnet,sub-047,ses-02,0.767,0.041922547632509195,0.767,0.76114222,0.8274000000000001
deepconvnet,sub-047,ses-03,0.671,0.025347583711273162,0.671,0.66601598,0.7182000000000001
deepconvnet,sub-048,ses-01,0.8039999999999999,0.013874436925511607,0.8039999999999999,0.7998853400000001,0.8783999999999998
deepconvnet,sub-048,ses-02,0.834,0.0065192024052026015,0.834,0.8315747800000001,0.9033999999999999
deepconvnet,sub-048,ses-03,0.8280000000000001,0.01890767040118906,0.8280000000000001,0.82410412,0.9267999999999998
deepconvnet,sub-049,ses-01,0.8460000000000001,0.0129421791055448,0.8460000000000001,0.8441759400000001,0.9149999999999998
deepconvnet,sub-049,ses-02,0.603,0.03898717737923583,0.603,0.58733704,0.64
deepconvnet,sub-049,ses-03,0.873,0.029495762407505153,0.873,0.8719553400000001,0.938
deepconvnet,sub-050,ses-01,0.7979999999999999,0.020796634343085405,0.7979999999999999,0.79615474,0.8573999999999999
deepconvnet,sub-050,ses-02,0.925,0.009354143466934866,0.925,0.92438008,0.9808
deepconvnet,sub-050,ses-03,0.9259999999999999,0.011937336386313311,0.9259999999999999,0.9251929999999999,0.9772000000000001
deepconvnet,sub-051,ses-01,0.8099999999999999,0.028062430400804528,0.8099999999999999,0.8079666399999998,0.8808
deepconvnet,sub-051,ses-02,0.667,0.03978064856183218,0.667,0.6545789200000001,0.7126
deepconvnet,sub-051,ses-03,0.773,0.01955760721560792,0.773,0.7679692,0.8695999999999999
eegnet,sub-001,ses-01,0.79,0.013693063937629103,0.79,0.78795428,0.865
eegnet,sub-001,ses-02,0.9720000000000001,0.0135092560861063,0.9720000000000001,0.97186824,0.9962
eegnet,sub-001,ses-03,0.969,0.01884144368141679,0.969,0.9688657199999999,0.9916
eegnet,sub-002,ses-01,0.604,0.01781852968120544,0.604,0.59707096,0.6519999999999999
eegnet,sub-002,ses-02,0.5519999999999999,0.01823458252881044,0.5519999999999999,0.54352732,0.5732
eegnet,sub-002,ses-03,0.747,0.03978064856183211,0.747,0.74451238,0.8333999999999999
eegnet,sub-003,ses-01,0.8620000000000001,0.030943496893531586,0.8620000000000001,0.8608321,0.9268000000000001
eegnet,sub-003,ses-02,0.897,0.02636285265292814,0.897,0.89646648,0.9398
eegnet,sub-003,ses-03,0.8530000000000001,0.025149552679918596,0.8530000000000001,0.8467410000000001,0.9273999999999999
eegnet,sub-004,ses-01,0.523,0.014404860290887994,0.523,0.51114926,0.5147999999999999
eegnet,sub-004,ses-02,0.495,0.05049752469181035,0.495,0.48276956000000004,0.49399999999999994
eegnet,sub-004,ses-03,0.548,0.0256417628099162,0.548,0.5413663200000001,0.5786
eegnet,sub-005,ses-01,0.909,0.011937336386313347,0.909,0.90856314,0.9676
eegnet,sub-005,ses-02,0.8460000000000001,0.024849547279578388,0.8460000000000001,0.8441637200000001,0.9124000000000001
eegnet,sub-005,ses-03,0.686,0.05605800567269585,0.686,0.68146374,0.7466
eegnet,sub-006,ses-01,0.925,0.010606601717798262,0.925,0.9247609600000001,0.9712
eegnet,sub-006,ses-02,0.968,0.009082951062292491,0.968,0.9678236,0.9938
eegnet,sub-006,ses-03,0.9790000000000001,0.0074161984870956986,0.9790000000000001,0.9789171,0.9986
eegnet,sub-007,ses-01,0.611,0.04306971093471609,0.611,0.60511036,0.6544
eegnet,sub-007,ses-02,0.845,0.010000000000000075,0.845,0.843599,0.8976
eegnet,sub-007,ses-03,0.8780000000000001,0.01440486029088795,0.8780000000000001,0.87723832,0.9259999999999999
eegnet,sub-008,ses-01,0.7150000000000001,0.03482097069296029,0.7150000000000001,0.71056692,0.7684
