method,model,training_scope,n_seeds,n_obs,acc_mean,acc_std,bacc_mean,bacc_std,f1_mean,f1_std,auc_mean,auc_std,nll_mean,nll_std,brier_mean,brier_std,ece_mean,ece_std
filterbank_reweighting,deepconvnet,multi_source,5,235,0.737063829787234,0.0041391592386932,0.737063829787234,0.0041391592386932,0.724679705237815,0.004344830052816632,0.7919489361702128,0.004506179249207088,0.5867565307716661,0.013370624071404902,0.3433311244391591,0.0039179954907690275,0.1089539712743556,0.0030192296462508692
filterbank_reweighting,deepconvnet,single_source,5,1440,0.67784375,0.004647390122821998,0.67784375,0.004647390122821998,0.6529844186509562,0.0052285573297637415,0.7378597569444445,0.0068153041938937104,0.713357863646848,0.015140175696161154,0.4210835003244141,0.0045415899996748025,0.1386128213405609,0.004530726124757304
filterbank_reweighting,eegnet,multi_source,5,235,0.7664893617021276,0.008955652521559589,0.7664893617021276,0.008955652521559589,0.7599404107540665,0.009477704229978453,0.8153231914893618,0.012839768732871591,0.5514463477480682,0.03274059233956654,0.3151946282271084,0.011257985649857543,0.09600186014682685,0.007093032172283854
filterbank_reweighting,eegnet,single_source,5,1440,0.7124270833333333,0.006070953918576699,0.7124270833333333,0.006070953918576699,0.7063022735033783,0.006101256644011313,0.7628052083333332,0.008728948233670958,0.7165857677640612,0.01566123504972555,0.3912115667179526,0.005778882468931185,0.12690557219274337,0.004316897511139664
filterbank_reweighting,fbcnet,multi_source,5,235,0.670191489361702,0.0029145053321136946,0.670191489361702,0.0029145053321136946,0.6497224458273337,0.001953748120557093,0.7327906382978724,0.003838755185758564,0.7067106783627829,0.016522311094015394,0.440443449661985,0.004379681312546516,0.14500066579022303,0.004722652348693072
filterbank_reweighting,fbcnet,single_source,5,1440,0.6237881944444444,0.004482252920383237,0.6237881944444444,0.004482252920383237,0.5917829025156041,0.004875521756603087,0.6859475347222224,0.003421613062512536,0.8517141605727374,0.014225025604245708,0.5137752956405746,0.006313952158958739,0.1839618276287284,0.005117150077816665
none_reference,deepconvnet,multi_source,5,235,0.7564042553191489,0.00718109534651476,0.7564042553191489,0.00718109534651476,0.7471813741971209,0.008875905088548236,0.8174848936170213,0.0053647438771446555,0.6159925765655142,0.017901805053796023,0.34293147823550535,0.009301441112977604,0.1179298689504887,0.005532364290181708
none_reference,deepconvnet,single_source,5,1440,0.6811041666666667,0.0023977598936749315,0.6811041666666667,0.0023977598936749315,0.6663682541666667,0.003587906917804103,0.7409613541666666,0.002589817254545265,0.8738616027777777,0.015517174052757996,0.44719132152777774,0.0033988788635380238,0.15986731597222223,0.0027313927753773344
none_reference,eegnet,multi_source,5,235,0.7716595744680851,0.0031433244994764236,0.7716595744680851,0.0031433244994764236,0.7662657385076755,0.004200910440824702,0.825814255319149,0.004889357563466959,0.552238308257879,0.018808609293240183,0.31613281624625444,0.004853520782600354,0.10204744430552133,0.005252195528217861
none_reference,eegnet,single_source,5,1440,0.7105416666666666,0.007995551485488573,0.7105416666666666,0.007995551485488573,0.7048568451388888,0.008456328999829012,0.7605927083333334,0.008339703783213382,0.8215597555555556,0.023321950741376368,0.40507752638888894,0.01073368555610581,0.13741330902777776,0.0035026197545749782
none_reference,fbcnet,multi_source,5,235,0.6750212765957447,0.0017185379154305031,0.6750212765957447,0.0017185379154305031,0.6487738241685399,0.005261049961709005,0.7391708510638297,0.0025565219944316503,0.7397546472939405,0.0290797389303154,0.44014392105167965,0.0048689485594575355,0.14842702275134143,0.005839918753585996
none_reference,fbcnet,single_source,5,1440,0.6279930555555555,0.0027595670425531516,0.6279930555555555,0.0027595670425531516,0.5935153472222222,0.004363986316125103,0.6898607986111112,0.003594861842232323,0.8859686145833333,0.01694163951240097,0.513512229861111,0.003889941274182838,0.18608842222222224,0.0023074402662640182
riemannian_alignment,deepconvnet,multi_source,5,235,0.713531914893617,0.009294585328715634,0.713531914893617,0.009294585328715634,0.7009234115213939,0.011716926655095461,0.7764957446808509,0.0076938136036832205,0.6673360036408648,0.015366501155093292,0.3870651866304843,0.012284878995106533,0.12250461497839456,0.007254783739562164
riemannian_alignment,deepconvnet,single_source,5,1440,0.63953125,0.0021495271156669986,0.63953125,0.0021495271156669986,0.6118393538186103,0.004661433859565447,0.6979974652777777,0.0030136966716578666,0.8138455196180278,0.010726389029432631,0.4744128868239222,0.0021560706312829282,0.15004096703355507,0.002350274042625716
riemannian_alignment,eegnet,multi_source,5,235,0.7613617021276596,0.010611754119213552,0.7613617021276596,0.010611754119213552,0.7570328517721062,0.012278026378907656,0.8135068085106383,0.010650522457148842,0.5409998798782522,0.027892758109131548,0.32199239228122767,0.014100973833784322,0.09345712096259944,0.006014661840988812
riemannian_alignment,eegnet,single_source,5,1440,0.6961597222222222,0.012688487273817954,0.6961597222222222,0.012688487273817954,0.6919301043607096,0.013108456471469462,0.7431402777777778,0.013709257542563863,0.6973443627642053,0.02063011271930849,0.40364640031292137,0.013826456576444074,0.11823302298080587,0.0030844708524873548
riemannian_alignment,fbcnet,multi_source,5,235,0.6887659574468085,0.009665899138550512,0.6887659574468085,0.009665899138550501,0.6674675505387008,0.014556742845537443,0.7507127659574467,0.005729298870719063,0.6295477144499408,0.027687878509050277,0.4073049586075081,0.015927859610611984,0.13216950429246774,0.013465898492397571
riemannian_alignment,fbcnet,single_source,5,1440,0.6551388888888889,0.005472986674607581,0.6551388888888889,0.005472986674607581,0.6345450875419347,0.006471836981062428,0.7137491319444444,0.005723700924982522,0.7030024526873603,0.010045411223174781,0.4540645419834604,0.005928656532992903,0.14725578817973528,0.004556791135231853
session_zscore,deepconvnet,multi_source,5,235,0.7597446808510637,0.003306851194975797,0.7597446808510637,0.003306851194975797,0.7533715498053297,0.0032806868576798504,0.8183463829787234,0.002703962988702605,0.6556665551412771,0.03677364117648313,0.3421912151139265,0.004741821624980001,0.12128802107116006,0.005499076204000817
session_zscore,deepconvnet,single_source,5,1440,0.6767465277777778,0.0022675658194130526,0.6767465277777778,0.0022675658194130526,0.6605733976275109,0.0024083737449138135,0.7381252083333334,0.0018952940777630445,0.8140266534445498,0.02213882140813028,0.4525746714477511,0.002832985894845617,0.16307999141886825,0.004491045022789576
session_zscore,eegnet,multi_source,5,235,0.7632127659574468,0.0037099452798088775,0.7632127659574468,0.0037099452798088407,0.7589253301272199,0.004430091060761776,0.8159002127659575,0.0031621150613766703,0.6028827270691065,0.02231723810073735,0.33339732741937317,0.00737907365721407,0.11172685487346441,0.0058993751918336185
session_zscore,eegnet,single_source,5,1440,0.7124930555555555,0.005791783238901465,0.7124930555555555,0.005791783238901465,0.7085645701729147,0.005916846783979967,0.7614636458333333,0.006473106288162082,0.6934902877572717,0.02155916130787609,0.39330661338661566,0.008526647070230714,0.1254828061053736,0.0051870573073322865
session_zscore,fbcnet,multi_source,5,235,0.6561914893617021,0.0045466248133423206,0.6561914893617021,0.0045466248133423206,0.6240457973464328,0.007760772640803247,0.7423127659574469,0.004507249429491022,0.7507044155269545,0.03872292562362158,0.4673523887502423,0.009012417973047157,0.16817328391557043,0.006702989353465282
session_zscore,fbcnet,single_source,5,1440,0.6209722222222223,0.004121236709276618,0.6209722222222223,0.004121236709276618,0.5803440074243232,0.006688504656323232,0.6919216319444444,0.0023965636507666446,0.9772788087514023,0.018209272720519497,0.5275003986817408,0.007314275601661552,0.1981872767019603,0.007261270903739602
