model,subject,ms_acc,s01_acc,s02_acc,best_single,delta_vs_best,delta_vs_s02
fbcnet,sub-015,0.506,0.48600000000000004,0.506,0.506,0.0,0.0
fbcnet,sub-016,0.531,0.532,0.513,0.532,-0.0010000000000000009,0.018000000000000016
fbcnet,sub-017,0.6140000000000001,0.539,0.595,0.595,0.019000000000000128,0.019000000000000128
fbcnet,sub-018,0.5349999999999999,0.504,0.495,0.504,0.030999999999999917,0.039999999999999925
fbcnet,sub-019,0.568,0.531,0.537,0.537,0.030999999999999917,0.030999999999999917
fbcnet,sub-020,0.491,0.48200000000000004,0.497,0.497,-0.006000000000000005,-0.006000000000000005
fbcnet,sub-021,0.609,0.529,0.5509999999999999,0.5509999999999999,0.05800000000000005,0.05800000000000005
fbcnet,sub-022,0.5810000000000001,0.51,0.62,0.62,-0.038999999999999924,-0.038999999999999924
fbcnet,sub-025,0.516,0.525,0.558,0.558,-0.04200000000000004,-0.04200000000000004
fbcnet,sub-027,0.541,0.518,0.5,0.518,0.02300000000000002,0.041000000000000036
fbcnet,sub-028,0.734,0.674,0.683,0.683,0.050999999999999934,0.050999999999999934
fbcnet,sub-029,0.96,0.55,0.96,0.96,0.0,0.0
fbcnet,sub-030,0.675,0.605,0.773,0.773,-0.09799999999999998,-0.09799999999999998
fbcnet,sub-031,0.639,0.549,0.571,0.571,0.06800000000000006,0.06800000000000006
fbcnet,sub-033,0.922,0.9359999999999999,0.8699999999999999,0.9359999999999999,-0.013999999999999901,0.05200000000000016
fbcnet,sub-034,0.5599999999999999,0.499,0.5589999999999999,0.5589999999999999,0.0010000000000000009,0.0010000000000000009
fbcnet,sub-035,0.8880000000000001,0.8030000000000002,0.8800000000000001,0.8800000000000001,0.008000000000000007,0.008000000000000007
fbcnet,sub-036,0.933,0.9179999999999999,0.9280000000000002,0.9280000000000002,0.004999999999999893,0.004999999999999893
fbcnet,sub-037,0.704,0.5469999999999999,0.7070000000000001,0.7070000000000001,-0.0030000000000001137,-0.0030000000000001137
fbcnet,sub-038,0.518,0.499,0.539,0.539,-0.02100000000000002,-0.02100000000000002
fbcnet,sub-039,0.571,0.529,0.631,0.631,-0.06000000000000005,-0.06000000000000005
fbcnet,sub-040,0.689,0.7060000000000001,0.628,0.7060000000000001,-0.017000000000000126,0.06099999999999994
fbcnet,sub-041,0.86,0.6990000000000001,0.825,0.825,0.03500000000000003,0.03500000000000003
fbcnet,sub-042,0.646,0.609,0.595,0.609,0.03700000000000003,0.051000000000000045
fbcnet,sub-043,0.993,0.976,0.9470000000000001,0.976,0.017000000000000015,0.04599999999999993
fbcnet,sub-044,0.55,0.5439999999999999,0.525,0.5439999999999999,0.006000000000000116,0.025000000000000022
fbcnet,sub-045,0.754,0.7220000000000001,0.646,0.7220000000000001,0.03199999999999992,0.10799999999999998
fbcnet,sub-046,0.96,0.9490000000000001,0.93,0.9490000000000001,0.010999999999999899,0.029999999999999916
fbcnet,sub-047,0.818,0.74,0.713,0.74,0.07799999999999996,0.10499999999999998
fbcnet,sub-048,0.625,0.546,0.577,0.577,0.04800000000000004,0.04800000000000004
fbcnet,sub-049,0.732,0.508,0.798,0.798,-0.06600000000000006,-0.06600000000000006
fbcnet,sub-050,0.877,0.799,0.8400000000000001,0.8400000000000001,0.03699999999999992,0.03699999999999992
fbcnet,sub-051,0.776,0.669,0.768,0.768,0.008000000000000007,0.008000000000000007
