Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods session_zscore --models fbcnet --seeds 0 --protocols single,multi --tag-suffix session_zscore_fbcnet_s0
Node   : gpu01 | Start: Tue Jun  9 03:45:04 CST 2026
Tue Jun  9 03:45:04 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:41:00.0 Off |                  Off |
| 81%   48C    P0             74W /  425W |       1MiB /  24564MiB |     14%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 03:54:30 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-012_ses02-to-ses03 seed=0 acc=0.4900 (ntr=160 nval=40 nte=200)
2026-06-09 03:54:34 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-012_ses03-to-ses01 seed=0 acc=0.5200 (ntr=160 nval=40 nte=200)
2026-06-09 03:54:38 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-012_ses03-to-ses02 seed=0 acc=0.4900 (ntr=160 nval=40 nte=200)
2026-06-09 03:54:43 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-013_ses01-to-ses02 seed=0 acc=0.5150 (ntr=160 nval=40 nte=200)
2026-06-09 03:54:48 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-013_ses01-to-ses03 seed=0 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 03:54:55 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-013_ses02-to-ses01 seed=0 acc=0.5600 (ntr=160 nval=40 nte=200)
2026-06-09 03:55:02 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-013_ses02-to-ses03 seed=0 acc=0.5750 (ntr=160 nval=40 nte=200)
2026-06-09 03:55:07 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-013_ses03-to-ses01 seed=0 acc=0.4800 (ntr=160 nval=40 nte=200)
2026-06-09 03:55:12 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-013_ses03-to-ses02 seed=0 acc=0.5450 (ntr=160 nval=40 nte=200)
2026-06-09 03:55:17 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-014_ses01-to-ses02 seed=0 acc=0.5050 (ntr=160 nval=40 nte=200)
