Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods bn_statistics_adaptation --models deepconvnet --seeds 2 --protocols single,multi --tag-suffix bn_statistics_adaptation_deepconvnet_s2
Node   : gpu01 | Start: Tue Jun  9 12:56:15 CST 2026
Tue Jun  9 12:56:16 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:01:00.0 Off |                  Off |
| 34%   44C    P0             50W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 13:06:04 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-011_ses03-to-ses01 seed=2 acc=0.8950 (ntr=160 nval=40 nte=200)
2026-06-09 13:06:16 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-011_ses03-to-ses02 seed=2 acc=0.7550 (ntr=160 nval=40 nte=200)
2026-06-09 13:06:21 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-012_ses01-to-ses02 seed=2 acc=0.4850 (ntr=160 nval=40 nte=200)
2026-06-09 13:06:26 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-012_ses01-to-ses03 seed=2 acc=0.5650 (ntr=160 nval=40 nte=200)
2026-06-09 13:06:31 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-012_ses02-to-ses01 seed=2 acc=0.4850 (ntr=160 nval=40 nte=200)
2026-06-09 13:06:36 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-012_ses02-to-ses03 seed=2 acc=0.4700 (ntr=160 nval=40 nte=200)
2026-06-09 13:06:40 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-012_ses03-to-ses01 seed=2 acc=0.5400 (ntr=160 nval=40 nte=200)
2026-06-09 13:06:45 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-012_ses03-to-ses02 seed=2 acc=0.5400 (ntr=160 nval=40 nte=200)
2026-06-09 13:06:50 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-013_ses01-to-ses02 seed=2 acc=0.7050 (ntr=160 nval=40 nte=200)
2026-06-09 13:06:55 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-013_ses01-to-ses03 seed=2 acc=0.6650 (ntr=160 nval=40 nte=200)
2026-06-09 13:07:00 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-013_ses02-to-ses01 seed=2 acc=0.6050 (ntr=160 nval=40 nte=200)
2026-06-09 13:07:06 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-013_ses02-to-ses03 seed=2 acc=0.7700 (ntr=160 nval=40 nte=200)
2026-06-09 13:07:12 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-013_ses03-to-ses01 seed=2 acc=0.6950 (ntr=160 nval=40 nte=200)
2026-06-09 13:07:18 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-013_ses03-to-ses02 seed=2 acc=0.7500 (ntr=160 nval=40 nte=200)
2026-06-09 13:07:23 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-014_ses01-to-ses02 seed=2 acc=0.5400 (ntr=160 nval=40 nte=200)
2026-06-09 13:07:28 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-014_ses01-to-ses03 seed=2 acc=0.5350 (ntr=160 nval=40 nte=200)
2026-06-09 13:07:33 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-014_ses02-to-ses01 seed=2 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 13:07:38 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-014_ses02-to-ses03 seed=2 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 13:07:43 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-014_ses03-to-ses01 seed=2 acc=0.4950 (ntr=160 nval=40 nte=200)
2026-06-09 13:07:49 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-014_ses03-to-ses02 seed=2 acc=0.4300 (ntr=160 nval=40 nte=200)
2026-06-09 13:07:57 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-015_ses01-to-ses02 seed=2 acc=0.6350 (ntr=160 nval=40 nte=200)
2026-06-09 13:08:05 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-015_ses01-to-ses03 seed=2 acc=0.6050 (ntr=160 nval=40 nte=200)
2026-06-09 13:08:11 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-015_ses02-to-ses01 seed=2 acc=0.6200 (ntr=160 nval=40 nte=200)
2026-06-09 13:08:17 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-015_ses02-to-ses03 seed=2 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 13:08:23 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-015_ses03-to-ses01 seed=2 acc=0.5750 (ntr=160 nval=40 nte=200)
2026-06-09 13:08:29 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-015_ses03-to-ses02 seed=2 acc=0.6550 (ntr=160 nval=40 nte=200)
2026-06-09 13:08:34 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-016_ses01-to-ses02 seed=2 acc=0.4750 (ntr=160 nval=40 nte=200)
2026-06-09 13:08:39 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-016_ses01-to-ses03 seed=2 acc=0.5500 (ntr=160 nval=40 nte=200)
2026-06-09 13:08:44 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-016_ses02-to-ses01 seed=2 acc=0.4950 (ntr=160 nval=40 nte=200)
2026-06-09 13:08:49 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-016_ses02-to-ses03 seed=2 acc=0.5300 (ntr=160 nval=40 nte=200)
2026-06-09 13:08:54 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-016_ses03-to-ses01 seed=2 acc=0.4900 (ntr=160 nval=40 nte=200)
2026-06-09 13:08:59 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-016_ses03-to-ses02 seed=2 acc=0.6000 (ntr=160 nval=40 nte=200)
2026-06-09 13:09:07 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-017_ses01-to-ses02 seed=2 acc=0.7450 (ntr=160 nval=40 nte=200)
2026-06-09 13:09:15 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-017_ses01-to-ses03 seed=2 acc=0.7250 (ntr=160 nval=40 nte=200)
2026-06-09 13:09:23 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-017_ses02-to-ses01 seed=2 acc=0.7200 (ntr=160 nval=40 nte=200)
2026-06-09 13:09:30 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-017_ses02-to-ses03 seed=2 acc=0.7000 (ntr=160 nval=40 nte=200)
2026-06-09 13:09:37 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-017_ses03-to-ses01 seed=2 acc=0.5900 (ntr=160 nval=40 nte=200)
2026-06-09 13:09:44 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-017_ses03-to-ses02 seed=2 acc=0.7750 (ntr=160 nval=40 nte=200)
2026-06-09 13:09:58 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-018_ses01-to-ses02 seed=2 acc=0.7050 (ntr=160 nval=40 nte=200)
2026-06-09 13:10:12 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-018_ses01-to-ses03 seed=2 acc=0.5350 (ntr=160 nval=40 nte=200)
2026-06-09 13:10:19 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-018_ses02-to-ses01 seed=2 acc=0.6550 (ntr=160 nval=40 nte=200)
2026-06-09 13:10:25 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-018_ses02-to-ses03 seed=2 acc=0.5900 (ntr=160 nval=40 nte=200)
2026-06-09 13:10:32 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-018_ses03-to-ses01 seed=2 acc=0.5950 (ntr=160 nval=40 nte=200)
2026-06-09 13:10:39 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-018_ses03-to-ses02 seed=2 acc=0.6050 (ntr=160 nval=40 nte=200)
2026-06-09 13:10:46 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-019_ses01-to-ses02 seed=2 acc=0.5100 (ntr=160 nval=40 nte=200)
2026-06-09 13:10:52 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-019_ses01-to-ses03 seed=2 acc=0.6150 (ntr=160 nval=40 nte=200)
2026-06-09 13:11:01 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-019_ses02-to-ses01 seed=2 acc=0.5200 (ntr=160 nval=40 nte=200)
2026-06-09 13:11:10 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-019_ses02-to-ses03 seed=2 acc=0.8600 (ntr=160 nval=40 nte=200)
2026-06-09 13:11:16 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-019_ses03-to-ses01 seed=2 acc=0.5500 (ntr=160 nval=40 nte=200)
2026-06-09 13:11:22 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-019_ses03-to-ses02 seed=2 acc=0.7450 (ntr=160 nval=40 nte=200)
2026-06-09 13:11:41 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-020_ses01-to-ses02 seed=2 acc=0.8300 (ntr=160 nval=40 nte=200)
2026-06-09 13:12:01 | INFO    | train_session_alignment | [align] bn_statistics_adaptation deepconvnet single_sub-020_ses01-to-ses03 seed=2 acc=0.6150 (ntr=160 nval=40 nte=200)
