Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods filterbank_reweighting --models fbcnet --seeds 4 --protocols single,multi --tag-suffix filterbank_reweighting_fbcnet_s4
Node   : gpu01 | Start: Tue Jun  9 18:22:47 CST 2026
Tue Jun  9 18:22:48 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:41:00.0 Off |                  Off |
| 40%   45C    P0             59W /  425W |       1MiB /  24564MiB |     12%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 18:28:49 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-006_ses03-to-ses02 seed=4 acc=0.7550 (ntr=160 nval=40 nte=200)
2026-06-09 18:28:55 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-007_ses01-to-ses02 seed=4 acc=0.4900 (ntr=160 nval=40 nte=200)
2026-06-09 18:29:00 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-007_ses01-to-ses03 seed=4 acc=0.5200 (ntr=160 nval=40 nte=200)
2026-06-09 18:29:09 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-007_ses02-to-ses01 seed=4 acc=0.5550 (ntr=160 nval=40 nte=200)
2026-06-09 18:29:18 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-007_ses02-to-ses03 seed=4 acc=0.5900 (ntr=160 nval=40 nte=200)
2026-06-09 18:29:24 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-007_ses03-to-ses01 seed=4 acc=0.5450 (ntr=160 nval=40 nte=200)
2026-06-09 18:29:30 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-007_ses03-to-ses02 seed=4 acc=0.5450 (ntr=160 nval=40 nte=200)
2026-06-09 18:29:36 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-008_ses01-to-ses02 seed=4 acc=0.5650 (ntr=160 nval=40 nte=200)
2026-06-09 18:29:41 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-008_ses01-to-ses03 seed=4 acc=0.5850 (ntr=160 nval=40 nte=200)
2026-06-09 18:29:47 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-008_ses02-to-ses01 seed=4 acc=0.6150 (ntr=160 nval=40 nte=200)
2026-06-09 18:29:53 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-008_ses02-to-ses03 seed=4 acc=0.7000 (ntr=160 nval=40 nte=200)
2026-06-09 18:30:06 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-008_ses03-to-ses01 seed=4 acc=0.5850 (ntr=160 nval=40 nte=200)
2026-06-09 18:30:19 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-008_ses03-to-ses02 seed=4 acc=0.5750 (ntr=160 nval=40 nte=200)
2026-06-09 18:30:25 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-009_ses01-to-ses02 seed=4 acc=0.6750 (ntr=160 nval=40 nte=200)
2026-06-09 18:30:32 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-009_ses01-to-ses03 seed=4 acc=0.4800 (ntr=160 nval=40 nte=200)
2026-06-09 18:30:38 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-009_ses02-to-ses01 seed=4 acc=0.6150 (ntr=160 nval=40 nte=200)
2026-06-09 18:30:43 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-009_ses02-to-ses03 seed=4 acc=0.4900 (ntr=160 nval=40 nte=200)
2026-06-09 18:30:49 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-009_ses03-to-ses01 seed=4 acc=0.5150 (ntr=160 nval=40 nte=200)
2026-06-09 18:30:54 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-009_ses03-to-ses02 seed=4 acc=0.5150 (ntr=160 nval=40 nte=200)
2026-06-09 18:30:59 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-010_ses01-to-ses02 seed=4 acc=0.5750 (ntr=160 nval=40 nte=200)
2026-06-09 18:31:05 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-010_ses01-to-ses03 seed=4 acc=0.5600 (ntr=160 nval=40 nte=200)
2026-06-09 18:31:11 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-010_ses02-to-ses01 seed=4 acc=0.5950 (ntr=160 nval=40 nte=200)
2026-06-09 18:31:18 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-010_ses02-to-ses03 seed=4 acc=0.5150 (ntr=160 nval=40 nte=200)
2026-06-09 18:31:33 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-010_ses03-to-ses01 seed=4 acc=0.5700 (ntr=160 nval=40 nte=200)
2026-06-09 18:31:48 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-010_ses03-to-ses02 seed=4 acc=0.5800 (ntr=160 nval=40 nte=200)
2026-06-09 18:32:03 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-011_ses01-to-ses02 seed=4 acc=0.6350 (ntr=160 nval=40 nte=200)
2026-06-09 18:32:18 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-011_ses01-to-ses03 seed=4 acc=0.5800 (ntr=160 nval=40 nte=200)
