Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods session_zscore --models deepconvnet --seeds 0 --protocols single,multi --tag-suffix session_zscore_deepconvnet_s0
Node   : gpu01 | Start: Tue Jun  9 02:53:54 CST 2026
Tue Jun  9 02:53:54 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:41:00.0 Off |                  Off |
| 35%   44C    P0             57W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 02:59:47 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-007_ses01-to-ses02 seed=0 acc=0.7950 (ntr=160 nval=40 nte=200)
2026-06-09 02:59:55 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-007_ses01-to-ses03 seed=0 acc=0.8850 (ntr=160 nval=40 nte=200)
2026-06-09 03:00:00 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-007_ses02-to-ses01 seed=0 acc=0.6550 (ntr=160 nval=40 nte=200)
2026-06-09 03:00:05 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-007_ses02-to-ses03 seed=0 acc=0.8800 (ntr=160 nval=40 nte=200)
2026-06-09 03:00:11 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-007_ses03-to-ses01 seed=0 acc=0.6050 (ntr=160 nval=40 nte=200)
2026-06-09 03:00:17 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-007_ses03-to-ses02 seed=0 acc=0.7000 (ntr=160 nval=40 nte=200)
2026-06-09 03:00:22 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-008_ses01-to-ses02 seed=0 acc=0.5200 (ntr=160 nval=40 nte=200)
2026-06-09 03:00:27 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-008_ses01-to-ses03 seed=0 acc=0.5100 (ntr=160 nval=40 nte=200)
2026-06-09 03:00:45 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-008_ses02-to-ses01 seed=0 acc=0.6700 (ntr=160 nval=40 nte=200)
2026-06-09 03:01:02 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-008_ses02-to-ses03 seed=0 acc=0.7400 (ntr=160 nval=40 nte=200)
