Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods riemannian_alignment --models fbcnet --seeds 4 --protocols single,multi --tag-suffix riemannian_alignment_fbcnet_s4
Node   : gpu01 | Start: Tue Jun  9 11:15:34 CST 2026
Tue Jun  9 11:15:34 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:41:00.0 Off |                  Off |
| 43%   45C    P0             59W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 11:29:17 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-012_ses03-to-ses01 seed=4 acc=0.5150 (ntr=160 nval=40 nte=200)
2026-06-09 11:29:24 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-012_ses03-to-ses02 seed=4 acc=0.5400 (ntr=160 nval=40 nte=200)
2026-06-09 11:29:31 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-013_ses01-to-ses02 seed=4 acc=0.4950 (ntr=160 nval=40 nte=200)
2026-06-09 11:29:38 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-013_ses01-to-ses03 seed=4 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 11:29:46 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-013_ses02-to-ses01 seed=4 acc=0.4650 (ntr=160 nval=40 nte=200)
2026-06-09 11:29:54 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-013_ses02-to-ses03 seed=4 acc=0.5150 (ntr=160 nval=40 nte=200)
2026-06-09 11:30:01 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-013_ses03-to-ses01 seed=4 acc=0.4900 (ntr=160 nval=40 nte=200)
2026-06-09 11:30:08 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-013_ses03-to-ses02 seed=4 acc=0.4800 (ntr=160 nval=40 nte=200)
2026-06-09 11:30:13 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-014_ses01-to-ses02 seed=4 acc=0.4900 (ntr=160 nval=40 nte=200)
2026-06-09 11:30:18 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-014_ses01-to-ses03 seed=4 acc=0.4850 (ntr=160 nval=40 nte=200)
2026-06-09 11:30:25 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-014_ses02-to-ses01 seed=4 acc=0.4750 (ntr=160 nval=40 nte=200)
2026-06-09 11:30:32 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-014_ses02-to-ses03 seed=4 acc=0.5250 (ntr=160 nval=40 nte=200)
2026-06-09 11:30:39 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-014_ses03-to-ses01 seed=4 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 11:30:45 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-014_ses03-to-ses02 seed=4 acc=0.4900 (ntr=160 nval=40 nte=200)
2026-06-09 11:30:50 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-015_ses01-to-ses02 seed=4 acc=0.5350 (ntr=160 nval=40 nte=200)
2026-06-09 11:30:56 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-015_ses01-to-ses03 seed=4 acc=0.5200 (ntr=160 nval=40 nte=200)
2026-06-09 11:31:02 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-015_ses02-to-ses01 seed=4 acc=0.5200 (ntr=160 nval=40 nte=200)
2026-06-09 11:31:08 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-015_ses02-to-ses03 seed=4 acc=0.4600 (ntr=160 nval=40 nte=200)
2026-06-09 11:31:16 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-015_ses03-to-ses01 seed=4 acc=0.4700 (ntr=160 nval=40 nte=200)
2026-06-09 11:31:24 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-015_ses03-to-ses02 seed=4 acc=0.5250 (ntr=160 nval=40 nte=200)
2026-06-09 11:31:30 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-016_ses01-to-ses02 seed=4 acc=0.5500 (ntr=160 nval=40 nte=200)
2026-06-09 11:31:36 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-016_ses01-to-ses03 seed=4 acc=0.5250 (ntr=160 nval=40 nte=200)
2026-06-09 11:31:42 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-016_ses02-to-ses01 seed=4 acc=0.5400 (ntr=160 nval=40 nte=200)
2026-06-09 11:31:47 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-016_ses02-to-ses03 seed=4 acc=0.5650 (ntr=160 nval=40 nte=200)
2026-06-09 11:31:52 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-016_ses03-to-ses01 seed=4 acc=0.5250 (ntr=160 nval=40 nte=200)
2026-06-09 11:31:57 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-016_ses03-to-ses02 seed=4 acc=0.4400 (ntr=160 nval=40 nte=200)
2026-06-09 11:32:04 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-017_ses01-to-ses02 seed=4 acc=0.5850 (ntr=160 nval=40 nte=200)
2026-06-09 11:32:11 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-017_ses01-to-ses03 seed=4 acc=0.4950 (ntr=160 nval=40 nte=200)
2026-06-09 11:32:16 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-017_ses02-to-ses01 seed=4 acc=0.5450 (ntr=160 nval=40 nte=200)
2026-06-09 11:32:21 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-017_ses02-to-ses03 seed=4 acc=0.5450 (ntr=160 nval=40 nte=200)
2026-06-09 11:32:29 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-017_ses03-to-ses01 seed=4 acc=0.6200 (ntr=160 nval=40 nte=200)
2026-06-09 11:32:37 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-017_ses03-to-ses02 seed=4 acc=0.6700 (ntr=160 nval=40 nte=200)
2026-06-09 11:32:42 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-018_ses01-to-ses02 seed=4 acc=0.5300 (ntr=160 nval=40 nte=200)
2026-06-09 11:32:47 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-018_ses01-to-ses03 seed=4 acc=0.4950 (ntr=160 nval=40 nte=200)
2026-06-09 11:33:03 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-018_ses02-to-ses01 seed=4 acc=0.6100 (ntr=160 nval=40 nte=200)
2026-06-09 11:33:18 | INFO    | train_session_alignment | [align] riemannian_alignment   fbcnet      single_sub-018_ses02-to-ses03 seed=4 acc=0.5050 (ntr=160 nval=40 nte=200)
