Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods bn_statistics_adaptation --models eegnet --seeds 2 --protocols single,multi --tag-suffix bn_statistics_adaptation_eegnet_s2
Node   : gpu01 | Start: Tue Jun  9 11:34:23 CST 2026
Tue Jun  9 11:34:24 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:61:00.0 Off |                  Off |
| 31%   43C    P0             58W /  425W |       1MiB /  24564MiB |     10%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 11:41:16 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-008_ses02-to-ses01 seed=2 acc=0.6450 (ntr=160 nval=40 nte=200)
2026-06-09 11:41:25 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-008_ses02-to-ses03 seed=2 acc=0.8750 (ntr=160 nval=40 nte=200)
2026-06-09 11:41:30 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-008_ses03-to-ses01 seed=2 acc=0.5700 (ntr=160 nval=40 nte=200)
2026-06-09 11:41:34 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-008_ses03-to-ses02 seed=2 acc=0.6200 (ntr=160 nval=40 nte=200)
2026-06-09 11:41:44 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-009_ses01-to-ses02 seed=2 acc=0.7650 (ntr=160 nval=40 nte=200)
2026-06-09 11:41:54 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-009_ses01-to-ses03 seed=2 acc=0.6300 (ntr=160 nval=40 nte=200)
2026-06-09 11:41:58 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-009_ses02-to-ses01 seed=2 acc=0.7000 (ntr=160 nval=40 nte=200)
2026-06-09 11:42:03 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-009_ses02-to-ses03 seed=2 acc=0.6100 (ntr=160 nval=40 nte=200)
2026-06-09 11:42:08 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-009_ses03-to-ses01 seed=2 acc=0.5900 (ntr=160 nval=40 nte=200)
2026-06-09 11:42:14 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-009_ses03-to-ses02 seed=2 acc=0.6450 (ntr=160 nval=40 nte=200)
2026-06-09 11:42:19 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-010_ses01-to-ses02 seed=2 acc=0.8350 (ntr=160 nval=40 nte=200)
2026-06-09 11:42:24 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-010_ses01-to-ses03 seed=2 acc=0.5450 (ntr=160 nval=40 nte=200)
2026-06-09 11:42:30 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-010_ses02-to-ses01 seed=2 acc=0.7800 (ntr=160 nval=40 nte=200)
2026-06-09 11:42:35 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-010_ses02-to-ses03 seed=2 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 11:42:43 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-010_ses03-to-ses01 seed=2 acc=0.6100 (ntr=160 nval=40 nte=200)
2026-06-09 11:42:51 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-010_ses03-to-ses02 seed=2 acc=0.6450 (ntr=160 nval=40 nte=200)
2026-06-09 11:42:56 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-011_ses01-to-ses02 seed=2 acc=0.7500 (ntr=160 nval=40 nte=200)
2026-06-09 11:43:01 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-011_ses01-to-ses03 seed=2 acc=0.9600 (ntr=160 nval=40 nte=200)
2026-06-09 11:43:06 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-011_ses02-to-ses01 seed=2 acc=0.8650 (ntr=160 nval=40 nte=200)
2026-06-09 11:43:12 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-011_ses02-to-ses03 seed=2 acc=0.9400 (ntr=160 nval=40 nte=200)
2026-06-09 11:43:30 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-011_ses03-to-ses01 seed=2 acc=0.9100 (ntr=160 nval=40 nte=200)
2026-06-09 11:43:49 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-011_ses03-to-ses02 seed=2 acc=0.7300 (ntr=160 nval=40 nte=200)
2026-06-09 11:43:54 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-012_ses01-to-ses02 seed=2 acc=0.5450 (ntr=160 nval=40 nte=200)
2026-06-09 11:43:59 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-012_ses01-to-ses03 seed=2 acc=0.5550 (ntr=160 nval=40 nte=200)
2026-06-09 11:44:04 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-012_ses02-to-ses01 seed=2 acc=0.4850 (ntr=160 nval=40 nte=200)
2026-06-09 11:44:08 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-012_ses02-to-ses03 seed=2 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 11:44:16 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-012_ses03-to-ses01 seed=2 acc=0.5600 (ntr=160 nval=40 nte=200)
2026-06-09 11:44:24 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-012_ses03-to-ses02 seed=2 acc=0.5400 (ntr=160 nval=40 nte=200)
2026-06-09 11:44:29 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-013_ses01-to-ses02 seed=2 acc=0.7150 (ntr=160 nval=40 nte=200)
2026-06-09 11:44:34 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-013_ses01-to-ses03 seed=2 acc=0.7050 (ntr=160 nval=40 nte=200)
2026-06-09 11:44:42 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-013_ses02-to-ses01 seed=2 acc=0.5800 (ntr=160 nval=40 nte=200)
2026-06-09 11:44:51 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-013_ses02-to-ses03 seed=2 acc=0.7150 (ntr=160 nval=40 nte=200)
2026-06-09 11:44:58 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-013_ses03-to-ses01 seed=2 acc=0.8000 (ntr=160 nval=40 nte=200)
